species,drought_phase,phase_day,total_day,date
ACY,0,1,1,23/01/2020
ACY,0,2,2,24/01/2020
ACY,0,3,3,25/01/2020
ACY,0,4,4,26/01/2020
ACY,1,1,5,27/01/2020
ACY,1,2,6,28/01/2020
ACY,1,3,7,29/01/2020
ACY,1,4,8,30/01/2020
ACY,1,5,9,31/01/2020
ACY,1,6,10,01/02/2020
ACY,1,7,11,02/02/2020
ACY,1,8,12,03/02/2020
ACY,1,9,13,04/02/2020
ACY,1,10,14,05/02/2020
ACY,1,11,15,06/02/2020
ACY,1,12,16,07/02/2020
ACY,1,13,17,08/02/2020
ACY,1,14,18,09/02/2020
ACY,1,15,19,10/02/2020
ACY,1,16,20,11/02/2020
ACY,1,17,21,12/02/2020
ACY,1,18,22,13/02/2020
ACY,1,19,23,14/02/2020
ACY,1_reduce,1,24,15/02/2020
ACY,1_reduce,2,25,16/02/2020
ACY,1_reduce,3,26,17/02/2020
ACY,1_reduce,4,27,18/02/2020
ACY,1_reduce,5,28,19/02/2020
ACY,1_reduce,6,29,20/02/2020
ACY,1_reduce,7,30,21/02/2020
ACY,1_reduce,8,31,22/02/2020
ACY,1_reduce,9,32,23/02/2020
ACY,2,1,33,24/02/2020
ACY,2,2,34,25/02/2020
ACY,2,3,35,26/02/2020
ACY,2,4,36,27/02/2020
ACY,2,5,37,28/02/2020
ACY,2,6,38,29/02/2020
ACY,2,7,39,01/03/2020
ACY,2,8,40,02/03/2020
ACY,2,9,41,03/03/2020
ACY,2,10,42,04/03/2020
ACY,2,11,43,05/03/2020
ACY,2,12,44,06/03/2020
ACY,2,13,45,07/03/2020
ACY,2,14,46,08/03/2020
ACY,2,15,47,09/03/2020
ACY,2_reduce,1,48,10/03/2020
ACY,2_reduce,2,49,11/03/2020
ACY,2_reduce,3,50,12/03/2020
ACY,2_reduce,4,51,13/03/2020
ACY,2_reduce,5,52,14/03/2020
ACY,2_reduce,6,53,15/03/2020
ACY,2_reduce,7,54,16/03/2020
ACY,2_reduce,8,55,17/03/2020
ACY,2_reduce,9,56,18/03/2020
ACY,2_reduce,10,57,19/03/2020
ACY,2_reduce,11,58,20/03/2020
ACY,2_reduce,12,59,21/03/2020
ACY,2_reduce,13,60,22/03/2020
ACY,2_reduce,14,61,23/03/2020
ACY,2_reduce,15,62,24/03/2020
ACY,2_reduce,16,63,25/03/2020
ACY,2_reduce,17,64,26/03/2020
ACY,2_reduce,18,65,27/03/2020
ACY,3,1,66,28/03/2020
ACY,3,2,67,29/03/2020
ACY,3,3,68,30/03/2020
ACY,3,4,69,31/03/2020
ACY,3,5,70,01/04/2020
ACY,3,6,71,02/04/2020
ACY,3,7,72,03/04/2020
ACY,3,8,73,04/04/2020
ACY,3,9,74,05/04/2020
ACY,3,10,75,06/04/2020
ACY,3,11,76,07/04/2020
ACY,3,12,77,08/04/2020
ACY,3,13,78,09/04/2020
ACY,3,14,79,10/04/2020
DPE,0,1,1,23/01/2020
DPE,0,2,2,24/01/2020
DPE,0,3,3,25/01/2020
DPE,0,4,4,26/01/2020
DPE,1,1,5,27/01/2020
DPE,1,2,6,28/01/2020
DPE,1,3,7,29/01/2020
DPE,1,4,8,30/01/2020
DPE,1,5,9,31/01/2020
DPE,1,6,10,01/02/2020
DPE,1,7,11,02/02/2020
DPE,1,8,12,03/02/2020
DPE,1,9,13,04/02/2020
DPE,1,10,14,05/02/2020
DPE,1,11,15,06/02/2020
DPE,1,12,16,07/02/2020
DPE,1,13,17,08/02/2020
DPE,1,14,18,09/02/2020
DPE,1,15,19,10/02/2020
DPE,1_reduce,1,20,11/02/2020
DPE,1_reduce,2,21,12/02/2020
DPE,1_reduce,3,22,13/02/2020
DPE,1_reduce,4,23,14/02/2020
DPE,1_reduce,5,24,15/02/2020
DPE,1_reduce,6,25,16/02/2020
DPE,1_reduce,7,26,17/02/2020
DPE,1_reduce,8,27,18/02/2020
DPE,1_reduce,9,28,19/02/2020
DPE,1_reduce,10,29,20/02/2020
DPE,1_reduce,11,30,21/02/2020
DPE,1_reduce,12,31,22/02/2020
DPE,1_reduce,13,32,23/02/2020
DPE,1_reduce,14,33,24/02/2020
DPE,1_reduce,15,34,25/02/2020
DPE,1_reduce,16,35,26/02/2020
DPE,1_reduce,17,36,27/02/2020
DPE,2,1,37,28/02/2020
DPE,2,2,38,29/02/2020
DPE,2,3,39,01/03/2020
DPE,2,4,40,02/03/2020
DPE,2,5,41,03/03/2020
DPE,2,6,42,04/03/2020
DPE,2,7,43,05/03/2020
DPE,2,8,44,06/03/2020
DPE,2,9,45,07/03/2020
DPE,2,10,46,08/03/2020
DPE,2,11,47,09/03/2020
DPE,2,12,48,10/03/2020
DPE,2,13,49,11/03/2020
DPE,2_reduce,1,50,12/03/2020
DPE,2_reduce,2,51,13/03/2020
DPE,2_reduce,3,52,14/03/2020
DPE,2_reduce,4,53,15/03/2020
DPE,2_reduce,5,54,16/03/2020
DPE,2_reduce,6,55,17/03/2020
DPE,2_reduce,7,56,18/03/2020
DPE,2_reduce,8,57,19/03/2020
DPE,2_reduce,9,58,20/03/2020
DPE,2_reduce,10,59,21/03/2020
DPE,2_reduce,11,60,22/03/2020
DPE,2_reduce,12,61,23/03/2020
DPE,2_reduce,13,62,24/03/2020
DPE,2_reduce,14,63,25/03/2020
DPE,2_reduce,15,64,26/03/2020
DPE,2_reduce,16,65,27/03/2020
DPE,3,1,66,28/03/2020
DPE,3,2,67,29/03/2020
DPE,3,3,68,30/03/2020
DPE,3,4,69,31/03/2020
DPE,3,5,70,01/04/2020
DPE,3,6,71,02/04/2020
DPE,3,7,72,03/04/2020
DPE,3,8,73,04/04/2020
DPE,3,9,74,05/04/2020
DPE,3,10,75,06/04/2020
DPE,3,11,76,07/04/2020
DPE,3,12,77,08/04/2020
DPE,3,13,78,09/04/2020
DPE,3,14,79,10/04/2020
DPE,3,15,80,11/04/2020
DPE,3,16,81,12/04/2020
CAL,0,1,1,23/01/2020
CAL,0,2,2,24/01/2020
CAL,0,3,3,25/01/2020
CAL,0,4,4,26/01/2020
CAL,1,1,5,27/01/2020
CAL,1,2,6,28/01/2020
CAL,1,3,7,29/01/2020
CAL,1,4,8,30/01/2020
CAL,1,5,9,31/01/2020
CAL,1,6,10,01/02/2020
CAL,1,7,11,02/02/2020
CAL,1,8,12,03/02/2020
CAL,1,9,13,04/02/2020
CAL,1,10,14,05/02/2020
CAL,1,11,15,06/02/2020
CAL,1,12,16,07/02/2020
CAL,1,13,17,08/02/2020
CAL,1,14,18,09/02/2020
CAL,1,15,19,10/02/2020
CAL,1,16,20,11/02/2020
CAL,1,17,21,12/02/2020
CAL,1,18,22,13/02/2020
CAL,1_reduce,1,23,14/02/2020
CAL,1_reduce,2,24,15/02/2020
CAL,1_reduce,3,25,16/02/2020
CAL,1_reduce,4,26,17/02/2020
CAL,1_reduce,5,27,18/02/2020
CAL,1_reduce,6,28,19/02/2020
CAL,1_reduce,7,29,20/02/2020
CAL,1_reduce,8,30,21/02/2020
CAL,1_reduce,9,31,22/02/2020
CAL,1_reduce,10,32,23/02/2020
CAL,2,1,33,24/02/2020
CAL,2,2,34,25/02/2020
CAL,2,3,35,26/02/2020
CAL,2,4,36,27/02/2020
CAL,2,5,37,28/02/2020
CAL,2,6,38,29/02/2020
CAL,2,7,39,01/03/2020
CAL,2,8,40,02/03/2020
CAL,2,9,41,03/03/2020
CAL,2,10,42,04/03/2020
CAL,2,11,43,05/03/2020
CAL,2,12,44,06/03/2020
CAL,2,13,45,07/03/2020
CAL,2,14,46,08/03/2020
CAL,2,15,47,09/03/2020
CAL,2,16,48,10/03/2020
CAL,2,17,49,11/03/2020
CAL,2,18,50,12/03/2020
CAL,2_reduce,1,51,13/03/2020
CAL,2_reduce,2,52,14/03/2020
CAL,2_reduce,3,53,15/03/2020
CAL,2_reduce,4,54,16/03/2020
CAL,2_reduce,5,55,17/03/2020
CAL,2_reduce,6,56,18/03/2020
CAL,2_reduce,7,57,19/03/2020
CAL,2_reduce,8,58,20/03/2020
CAL,2_reduce,9,59,21/03/2020
CAL,2_reduce,10,60,22/03/2020
CAL,2_reduce,11,61,23/03/2020
CAL,2_reduce,12,62,24/03/2020
CAL,2_reduce,13,63,25/03/2020
CAL,2_reduce,14,64,26/03/2020
CAL,2_reduce,15,65,27/03/2020
CAL,3,1,66,28/03/2020
CAL,3,2,67,29/03/2020
CAL,3,3,68,30/03/2020
CAL,3,4,69,31/03/2020
CAL,3,5,70,01/04/2020
CAL,3,6,71,02/04/2020
CAL,3,7,72,03/04/2020
CAL,3,8,73,04/04/2020
CAL,3,9,74,05/04/2020
CAL,3,10,75,06/04/2020
CAL,3,11,76,07/04/2020
CAL,3,12,77,08/04/2020
CAL,3,13,78,09/04/2020
CAL,3,14,79,10/04/2020
CAL,3,15,80,11/04/2020
LST,0,1,1,23/01/2020
LST,0,2,2,24/01/2020
LST,0,3,3,25/01/2020
LST,0,4,4,26/01/2020
LST,1,1,5,27/01/2020
LST,1,2,6,28/01/2020
LST,1,3,7,29/01/2020
LST,1,4,8,30/01/2020
LST,1,5,9,31/01/2020
LST,1,6,10,01/02/2020
LST,1,7,11,02/02/2020
LST,1,8,12,03/02/2020
LST,1,9,13,04/02/2020
LST,1,10,14,05/02/2020
LST,1,11,15,06/02/2020
LST,1,12,16,07/02/2020
LST,1,13,17,08/02/2020
LST,1,14,18,09/02/2020
LST,1,15,19,10/02/2020
LST,1,16,20,11/02/2020
LST,1_reduce,1,21,12/02/2020
LST,1_reduce,2,22,13/02/2020
LST,1_reduce,3,23,14/02/2020
LST,1_reduce,4,24,15/02/2020
LST,1_reduce,5,25,16/02/2020
LST,1_reduce,6,26,17/02/2020
LST,1_reduce,7,27,18/02/2020
LST,1_reduce,8,28,19/02/2020
LST,1_reduce,9,29,20/02/2020
LST,1_reduce,10,30,21/02/2020
LST,1_reduce,11,31,22/02/2020
LST,1_reduce,12,32,23/02/2020
LST,2,1,33,24/02/2020
LST,2,2,34,25/02/2020
LST,2,3,35,26/02/2020
LST,2,4,36,27/02/2020
LST,2,5,37,28/02/2020
LST,2,6,38,29/02/2020
LST,2,7,39,01/03/2020
LST,2,8,40,02/03/2020
LST,2,9,41,03/03/2020
LST,2,10,42,04/03/2020
LST,2,11,43,05/03/2020
LST,2,12,44,06/03/2020
LST,2,13,45,07/03/2020
LST,2,14,46,08/03/2020
LST,2,15,47,09/03/2020
LST,2,16,48,10/03/2020
LST,2,17,49,11/03/2020
LST,2,18,50,12/03/2020
LST,2,19,51,13/03/2020
LST,2_reduce,1,52,14/03/2020
LST,2_reduce,2,53,15/03/2020
LST,2_reduce,3,54,16/03/2020
LST,2_reduce,4,55,17/03/2020
LST,2_reduce,5,56,18/03/2020
LST,2_reduce,6,57,19/03/2020
LST,2_reduce,7,58,20/03/2020
LST,2_reduce,8,59,21/03/2020
LST,2_reduce,9,60,22/03/2020
LST,2_reduce,10,61,23/03/2020
LST,2_reduce,11,62,24/03/2020
LST,2_reduce,12,63,25/03/2020
LST,2_reduce,13,64,26/03/2020
LST,2_reduce,14,65,27/03/2020
LST,3,1,66,28/03/2020
LST,3,2,67,29/03/2020
LST,3,3,68,30/03/2020
LST,3,4,69,31/03/2020
LST,3,5,70,01/04/2020
LST,3,6,71,02/04/2020
LST,3,7,72,03/04/2020
LST,3,8,73,04/04/2020
LST,3,9,74,05/04/2020
LST,3,10,75,06/04/2020
LST,3,11,76,07/04/2020
LST,3,12,77,08/04/2020
LST,3,13,78,09/04/2020
LST,3,14,79,10/04/2020
LST,3,15,80,11/04/2020
LST,3,16,81,12/04/2020
LST,3,17,82,13/04/2020
ROF,0,1,1,23/01/2020
ROF,0,2,2,24/01/2020
ROF,0,3,3,25/01/2020
ROF,0,4,4,26/01/2020
ROF,1,1,5,27/01/2020
ROF,1,2,6,28/01/2020
ROF,1,3,7,29/01/2020
ROF,1,4,8,30/01/2020
ROF,1,5,9,31/01/2020
ROF,1,6,10,01/02/2020
ROF,1,7,11,02/02/2020
ROF,1,8,12,03/02/2020
ROF,1,9,13,04/02/2020
ROF,1,10,14,05/02/2020
ROF,1,11,15,06/02/2020
ROF,1,12,16,07/02/2020
ROF,1,13,17,08/02/2020
ROF,1,14,18,09/02/2020
ROF,1,15,19,10/02/2020
ROF,1,16,20,11/02/2020
ROF,1,17,21,12/02/2020
ROF,1_reduce,1,22,13/02/2020
ROF,1_reduce,2,23,14/02/2020
ROF,1_reduce,3,24,15/02/2020
ROF,1_reduce,4,25,16/02/2020
ROF,1_reduce,5,26,17/02/2020
ROF,1_reduce,6,27,18/02/2020
ROF,1_reduce,7,28,19/02/2020
ROF,1_reduce,8,29,20/02/2020
ROF,1_reduce,9,30,21/02/2020
ROF,1_reduce,10,31,22/02/2020
ROF,1_reduce,11,32,23/02/2020
ROF,2,1,33,24/02/2020
ROF,2,2,34,25/02/2020
ROF,2,3,35,26/02/2020
ROF,2,4,36,27/02/2020
ROF,2,5,37,28/02/2020
ROF,2,6,38,29/02/2020
ROF,2,7,39,01/03/2020
ROF,2,8,40,02/03/2020
ROF,2,9,41,03/03/2020
ROF,2,10,42,04/03/2020
ROF,2,11,43,05/03/2020
ROF,2,12,44,06/03/2020
ROF,2,13,45,07/03/2020
ROF,2,14,46,08/03/2020
ROF,2,15,47,09/03/2020
ROF,2,16,48,10/03/2020
ROF,2_reduce,1,49,11/03/2020
ROF,2_reduce,2,50,12/03/2020
ROF,2_reduce,3,51,13/03/2020
ROF,2_reduce,4,52,14/03/2020
ROF,2_reduce,5,53,15/03/2020
ROF,2_reduce,6,54,16/03/2020
ROF,2_reduce,7,55,17/03/2020
ROF,2_reduce,8,56,18/03/2020
ROF,2_reduce,9,57,19/03/2020
ROF,2_reduce,10,58,20/03/2020
ROF,2_reduce,11,59,21/03/2020
ROF,2_reduce,12,60,22/03/2020
ROF,2_reduce,13,61,23/03/2020
ROF,2_reduce,14,62,24/03/2020
ROF,2_reduce,15,63,25/03/2020
ROF,2_reduce,16,64,26/03/2020
ROF,2_reduce,17,65,27/03/2020
ROF,3,1,66,28/03/2020
ROF,3,2,67,29/03/2020
ROF,3,3,68,30/03/2020
ROF,3,4,69,31/03/2020
ROF,3,5,70,01/04/2020
ROF,3,6,71,02/04/2020
ROF,3,7,72,03/04/2020
ROF,3,8,73,04/04/2020
ROF,3,9,74,05/04/2020
ROF,3,10,75,06/04/2020
ROF,3,11,76,07/04/2020
ROF,3,12,77,08/04/2020
ROF,3,13,78,09/04/2020
ROF,3,14,79,10/04/2020
ROF,3,15,80,11/04/2020
ROF,3,16,81,12/04/2020
ROF,3,17,82,13/04/2020
ROF,3,18,83,14/04/2020
ROF,3,19,84,15/04/2020
ROF,3,20,85,16/04/2020