greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,length_main_root_cm,diameter_top_mainroot_mm,fresh_weight_soil_bucketplus2.12kg,fresh_weight_allpotsoil_g,estim_dryweight_allpot_g,pot_bulk_density_g/cm3,soil_freshweight_1liter,soil_dryweight_1liter,grav_swc_perc,grav_swc (g/g),bulk_density_ (g/cm3) ,vol_swc_perc,vol_swc(cm3/cm3),ysoil_bc(kpa),total_leaves_dryweight_bag,total_stem_dryweight_bag,main_roots_dryweight_bag,fine_roots_dryweight_bag,observations..a...or.2.circled.next.to.the.number.means.2.bags..M.means.brown.bag..maron...N.new.bag.larger,"normal:2.975,2x normal.white.bag:5.950g,N.white.bag.new.larger:7.051.g.M.brown.bag.large:20.546g",bag_weight_leaves,bag_weight_stem,bag_weight_mainroots,bag_weight_fineroots,leaves_biomass,stems_biomass,main_roots_biomass,fine_roots_biomass,total_aboveground_biomass,total_belowground_biomass,root_shoot_ratio
C,DPE,1W,CDPE1W,12/4/20,3,16,81,elevated,R+,55,5.5,7.6,5480,4915.44,0.492,803,728,10.3021978,0.103021978,0.728,7.5,0.075,-842.0622683,9.133,26.395,8.229,6.319,,,2.975,2.975,2.975,2.975,6.158,23.42,5.254,3.344,29.578,8.598,0.290689026
C,DPE,2W,CDPE2W,12/4/20,3,16,81,elevated,R+,55,5.21,7.6,5480,4848.876,0.485,794,712,11.51685393,0.115168539,0.712,8.2,0.082,-626.4398474,9.988,20.648,7.262,6.179,,,2.975,2.975,2.975,2.975,7.013,17.673,4.287,3.204,24.686,7.491,0.303451349
C,DPE,3W,CDPE3W,12/4/20,3,16,81,elevated,R+,82,7.12,7.2,5080,3805.279,0.381,673,538,25.0929368,0.250929368,0.538,13.5,0.135,-119.9819326,11.874,33.083,9.514,7.4,,,2.975,2.975,2.975,2.975,8.899,30.108,6.539,4.425,39.007,10.964,0.281077755
C,DPE,2D,CDPE2D,12/4/20,3,16,81,elevated,R+,43,5.92,7.7,5580,5272.967,0.527,882,836,5.502392344,0.055023923,0.836,4.6,0.046,-4257.259112,10.561,25.683,8.702,7.603,,,2.975,2.975,2.975,2.975,7.586,22.708,5.727,4.628,30.294,10.355,0.341816861
D,ACY,1W,DACY1W,10/4/20,3,14,79,ambient,R+,55,9.25,7.6,5480,5016.697,0.502,821,757,8.454425363,0.084544254,0.757,6.4,0.064,-1424.576192,15.133,30.587,12.497,7.211,,,2.975,2.975,2.975,2.975,12.158,27.612,9.522,4.236,39.77,13.758,0.34593915
D,ACY,2W,DACY2W,10/4/20,3,14,79,ambient,R+,47,7.64,7.6,5480,4722.128,0.472,749,658,13.82978723,0.138297872,0.658,9.1,0.091,-443.5576565,13.286,19.64,8.436,6.507,,,2.975,2.975,2.975,2.975,10.311,16.665,5.461,3.532,26.976,8.993,0.333370403
D,ACY,3W,DACY3W,10/4/20,3,14,79,ambient,R+,66,8.66,7.7,5580,5178.079,0.518,893,833,7.202881152,0.072028812,0.833,6,0.06,-1764.415648,16.487,40.824,14.448,7.429,,,2.975,2.975,2.975,2.975,13.512,37.849,11.473,4.454,51.361,15.927,0.310099102
D,ACY,4W,DACY4W,10/4/20,3,14,79,ambient,R+,73,10.4,7.9,5780,5317.297,0.532,823,762,8.005249344,0.080052493,0.762,6.1,0.061,-1670.336197,13.9,51.588,15.309,8.021,,,2.975,2.975,2.975,2.975,10.925,48.613,12.334,5.046,59.538,17.38,0.291914408
D,ACY,5W,DACY5W,10/4/20,3,14,79,ambient,R+,41,5.69,7.4,5280,3559.774,0.356,704,531,32.58003766,0.325800377,0.531,17.3,0.173,-52.72899136,9.693,16.719,6.827,6.121,,,2.975,2.975,2.975,2.975,6.718,13.744,3.852,3.146,20.462,6.998,0.341999805
D,CAL,2W,DCAL2W,11/4/20,3,15,80,ambient,R-,53,6.42,7.5,5380,4764.492,0.476,789,708,11.44067797,0.11440678,0.708,8.1,0.081,-652.4458276,24.294,24.727,8.985,9.28,fine roots N,,2.975,2.975,2.975,7.051,21.319,21.752,6.01,2.229,43.071,8.239,0.191288802
D,CAL,3W,DCAL3W,11/4/20,3,15,80,ambient,R-,63,8.44,7.5,5380,4484.547,0.448,862,739,16.64411367,0.166441137,0.739,12.3,0.123,-163.3566623,17.056,24.438,11.995,10.007,fine roots N,,2.975,2.975,2.975,7.051,14.081,21.463,9.02,2.956,35.544,11.976,0.336934504
D,CAL,4W,DCAL4W,11/4/20,3,15,80,ambient,R-,72,11.12,7.2,5080,4541.864,0.454,783,708,10.59322034,0.105932203,0.708,7.5,0.075,-842.0622683,36.386,47.287,16.977,12.433,fine roots N,,2.975,2.975,2.975,7.051,33.411,44.312,14.002,5.382,77.723,19.384,0.249398505
D,CAL,5W,DCAL5W,11/4/20,3,15,80,ambient,R-,52,6.54,7.4,5280,4887.518,0.489,766,713,7.433380084,0.074333801,0.713,5.3,0.053,-2661.937093,19.514,22.815,10.003,9.505,,,2.975,2.975,2.975,2.975,16.539,19.84,7.028,6.53,36.379,13.558,0.37268754
D,CAL,3D,DCAL3D,11/4/20,3,15,80,ambient,R-,59,5.59,7.6,5480,4946.367,0.495,879,801,9.737827715,0.097378277,0.801,7.8,0.078,-739.3987088,15.832,15.004,8.56,8.32,fine roots N,,2.975,2.975,2.975,7.051,12.857,12.029,5.585,1.269,24.886,6.854,0.275415896
D,ROF,1W,DROF1W,16/04/2020,3,20,85,ambient,R-,63,6.72,7.5,5380,4672.105,0.467,731,646,13.15789474,0.131578947,0.646,8.5,0.085,-556.0944453,19.645,21.993,8.86,7.342,main roots N,,2.975,2.975,7.051,2.975,16.67,19.018,1.809,4.367,35.688,6.176,0.173055369
D,ROF,2W,DROF2W,16/04/2020,3,20,85,ambient,R-,40,7.03,7.8,5680,5343.181,0.534,786,742,5.929919137,0.059299191,0.742,4.4,0.044,-4933.176718,24.967,20.385,8.887,7.616,main roots N,,2.975,2.975,7.051,2.975,21.992,17.41,1.836,4.641,39.402,6.477,0.164382519
D,ROF,3W,DROF3W,16/04/2020,3,20,85,ambient,R-,55,8.65,7.9,5780,5390.639,0.539,919,861,6.736353078,0.067363531,0.861,5.8,0.058,-1974.278868,25.399,24.128,10.273,8.301,main roots N,,2.975,2.975,7.051,2.975,22.424,21.153,3.222,5.326,43.577,8.548,0.196158524
D,ROF,4W,DROF4W,16/04/2020,3,20,85,ambient,R-,33,6.43,7.7,5580,5003.847,0.5,780,707,10.32531825,0.103253182,0.707,7.3,0.073,-920.9944529,13.554,17.654,7.99,6.582,main roots N,,2.975,2.975,7.051,2.975,10.579,14.679,0.939,3.607,25.258,4.546,0.17998258
D,ROF,2D,DROF2D,16/04/2020,3,20,85,ambient,R-,45,7.78,7.8,5680,5327.542,0.533,890,838,6.205250597,0.062052506,0.838,5.2,0.052,-2835.444896,19.135,21.471,8.936,6.61,,,2.975,2.975,2.975,2.975,16.16,18.496,5.961,3.635,34.656,9.596,0.27689289
D,LST,1W,DLST1W,13/04/2020,3,17,82,ambient,R-,40,7.45,7.5,5380,4777.199,0.478,794,714,11.20448179,0.112044818,0.714,8,0.08,-679.8748702,12.114,11.747,7.178,6.678,,,2.975,2.975,2.975,2.975,9.139,8.772,4.203,3.703,17.911,7.906,0.441404723
D,LST,2W,DLST2W,13/04/2020,3,17,82,ambient,R-,25,9.45,7.8,5680,5192.907,0.519,747,688,8.575581395,0.085755814,0.688,5.9,0.059,-1865.51127,15.545,18.852,7.789,6.992,,,2.975,2.975,2.975,2.975,12.57,15.877,4.814,4.017,28.447,8.831,0.310436953
D,LST,3D,DLST3D,13/04/2020,3,17,82,ambient,R-,32,5.83,7.9,5780,5368.805,0.537,798,745,7.11409396,0.07114094,0.745,5.3,0.053,-2661.937093,13.358,16.236,7.073,6.177,,,2.975,2.975,2.975,2.975,10.383,13.261,4.098,3.202,23.644,7.3,0.308746405
D,LST,4D,DLST4D,13/04/2020,3,17,82,ambient,R-,26,6.22,7.7,5580,5181.946,0.518,826,771,7.133592737,0.071335927,0.771,5.5,0.055,-2354.34433,14.406,13.451,7.358,6.372,,,2.975,2.975,2.975,2.975,11.431,10.476,4.383,3.397,21.907,7.78,0.355137627
D,LST,2D,DLST2D,13/04/2020,3,17,82,ambient,R-,32,5.98,7.8,5680,5293.444,0.529,769,720,6.805555556,0.068055556,0.72,4.9,0.049,-3452.806897,15.629,15.478,6.929,6.539,,,2.975,2.975,2.975,2.975,12.654,12.503,3.954,3.564,25.157,7.518,0.298843264
D,DPE,1W,DDPE1W,12/4/20,3,16,81,ambient,R+,60,7.25,7.4,5280,4634.932,0.463,744,663,12.21719457,0.122171946,0.663,8.1,0.081,-652.4458276,13.718,32.491,10.391,7.057,,,2.975,2.975,2.975,2.975,10.743,29.516,7.416,4.082,40.259,11.498,0.285600735
D,DPE,2W,DDPE2W,12/4/20,3,16,81,ambient,R+,50,6.38,7.7,5580,5194.222,0.519,866,810,6.913580247,0.069135802,0.81,5.6,0.056,-2217.833741,9.826,30.208,9.042,7.719,,,2.975,2.975,2.975,2.975,6.851,27.233,6.067,4.744,34.084,10.811,0.31718695
D,DPE,3W,DDPE3W,12/4/20,3,16,81,ambient,R+,70,7.47,7.5,5380,4685.56,0.469,796,705,12.90780142,0.129078014,0.705,9.1,0.091,-443.5576565,13.726,27.51,9.949,7.756,,,2.975,2.975,2.975,2.975,10.751,24.535,6.974,4.781,35.286,11.755,0.333134954
D,DPE,1D,DDPE1D,12/4/20,3,16,81,ambient,R+,65,6.58,7.6,5480,5032.808,0.503,782,723,8.1604426,0.081604426,0.723,5.9,0.059,-1865.51127,9.923,39.65,9.781,6.841,,,2.975,2.975,2.975,2.975,6.948,36.675,6.806,3.866,43.623,10.672,0.244641588
E,ACY,1W,EACY1W,10/4/20,3,14,79,ambient,R+,67,9.82,7.5,5380,4996.252,0.5,766,715,7.132867133,0.071328671,0.715,5.1,0.051,-3023.967797,13.913,45.307,15.861,9.705,,,2.975,2.975,2.975,2.975,10.938,42.332,12.886,6.73,53.27,19.616,0.368237282
E,ACY,2W,EACY2W,10/4/20,3,14,79,ambient,R+,99,10.2,7.6,5480,5171.268,0.517,900,852,5.633802817,0.056338028,0.852,4.8,0.048,-3697.069322,9.088,46.312,17.705,8.983,,,2.975,2.975,2.975,2.975,6.113,43.337,14.73,6.008,49.45,20.738,0.419373104
E,ACY,3W,EACY3W,10/4/20,3,14,79,ambient,R+,80,11.23,7.5,5380,5039.118,0.504,772,726,6.336088154,0.063360882,0.726,4.6,0.046,-4257.259112,13.745,65.483,18.102,11.282,,,2.975,2.975,2.975,2.975,10.77,62.508,15.127,8.307,73.278,23.434,0.319795846
E,ACY,5W,EACY5W,10/4/20,3,14,79,ambient,R+,82,9.48,7.5,5380,4626.45,0.463,700,614,14.00651466,0.140065147,0.614,8.6,0.086,-534.945982,16.078,40.023,16.661,9.445,,2 bags stems,2.975,5.95,2.975,2.975,13.103,34.073,13.686,6.47,47.176,20.156,0.427251145
E,CAL,1W,ECAL1W,11/4/20,3,15,80,ambient,R-,55,10.31,7.4,5280,4876.522,0.488,817,759,7.641633729,0.076416337,0.759,5.8,0.058,-1974.278868,33.52,41.835,16.51,11.998,fine roots N,,2.975,2.975,2.975,7.051,30.545,38.86,13.535,4.947,69.405,18.482,0.266292054
E,CAL,2W,ECAL2W,11/4/20,3,15,80,ambient,R-,50,8.04,7.6,5480,5480,0.548,,865,,,,,,,17.235,20.754,10.866,8.939,fine roots N,,2.975,2.975,2.975,7.051,14.26,17.779,7.891,1.888,32.039,9.779,0.305221761
E,CAL,3W,ECAL3W,11/4/20,3,15,80,ambient,R-,64,8.66,7.6,5480,5149.481,0.515,879,829,6.031363088,0.060313631,0.829,5,0.05,-3229.138937,26.738,25.142,12.728,8.664,fine roots N,,2.975,2.975,2.975,7.051,23.763,22.167,9.753,1.613,45.93,11.366,0.247463531
E,CAL,4W,ECAL4W,11/4/20,3,15,80,ambient,R-,62,8.01,7.7,5580,5033.235,0.503,818,745,9.798657718,0.097986577,0.745,7.3,0.073,-920.9944529,24.012,30.2,10.702,10.011,fine roots N,,2.975,2.975,2.975,7.051,21.037,27.225,7.727,2.96,48.262,10.687,0.221437156
E,CAL,5W,ECAL5W,11/4/20,3,15,80,ambient,R-,61,12.07,6.8,4680,3985.548,0.399,712,620,14.83870968,0.148387097,0.62,9.2,0.092,-427.7752444,66.263,61.442,22.696,13.648,fine roots N,2 bags stems,2.975,5.95,2.975,7.051,63.288,55.492,19.721,6.597,118.78,26.318,0.221569288
E,ROF,1W,EROF1W,16/04/2020,3,20,85,ambient,R-,50,6.26,7.9,5780,5317.6,0.532,864,800,8,0.08,0.8,6.4,0.064,-1424.576192,14.449,14.677,8.25,8.785,main roots N,,2.975,2.975,7.051,2.975,11.474,11.702,1.199,5.81,23.176,7.009,0.302424922
E,ROF,2W,EROF2W,16/04/2020,3,20,85,ambient,R-,73,6.52,7.8,5680,5211.009,0.521,826,763,8.256880734,0.082568807,0.763,6.3,0.063,-1500.922867,20.894,20.557,8.742,7.858,main roots N,,2.975,2.975,7.051,2.975,17.919,17.582,1.691,4.883,35.501,6.574,0.185177882
E,ROF,3W,EROF3W,16/04/2020,3,20,85,ambient,R-,30,4.67,7.7,5580,5177.838,0.518,833,777,7.207207207,0.072072072,0.777,5.6,0.056,-2217.833741,15.448,15.893,7.814,6.743,main roots N,,2.975,2.975,7.051,2.975,12.473,12.918,0.763,3.768,25.391,4.531,0.178449057
E,ROF,4W,EROF4W,16/04/2020,3,20,85,ambient,R-,97,7.27,7.1,4980,4150,0.415,686,588,16.66666667,0.166666667,0.588,9.8,0.098,-346.9427806,32.711,26.907,8.75,7.452,,,2.975,2.975,2.975,2.975,29.736,23.932,5.775,4.477,53.668,10.252,0.19102631
E,ROF,5W,EROF5W,16/04/2020,3,20,85,ambient,R-,50,9.46,7.3,5180,4865,0.487,785,740,6.081081081,0.060810811,0.74,4.5,0.045,-4579.02287,36.472,34.789,10.881,8.423,main roots N,,2.975,2.975,7.051,2.975,33.497,31.814,3.83,5.448,65.311,9.278,0.142058765
E,LST,1W,ELST1W,13/04/2020,3,17,82,ambient,R-,50,8.49,7.6,5480,4985.226,0.499,797,731,9.02872777,0.090287278,0.731,6.6,0.066,-1286.424046,15.618,21.13,8.232,7.293,,,2.975,2.975,2.975,2.975,12.643,18.155,5.257,4.318,30.798,9.575,0.310896811
E,LST,4W,ELST4W,13/04/2020,3,17,82,ambient,R-,50,8.41,7.3,5180,4752.864,0.475,722,667,8.245877061,0.082458771,0.667,5.5,0.055,-2354.34433,20.346,22.509,8.919,8.499,,,2.975,2.975,2.975,2.975,17.371,19.534,5.944,5.524,36.905,11.468,0.310743802
E,LST,1D,ELST1D,13/04/2020,3,17,82,ambient,R-,30,6.25,7.9,5780,5428.564,0.543,820,773,6.080206986,0.06080207,0.773,4.7,0.047,-3964.312636,14.078,18.804,7.609,6.975,,,2.975,2.975,2.975,2.975,11.103,15.829,4.634,4,26.932,8.634,0.320585177
E,DPE,1W,EDPE1W,12/4/20,3,16,81,ambient,R+,63,5.08,8.3,6180,5712.283,0.571,867,806,7.568238213,0.075682382,0.806,6.1,0.061,-1670.336197,7.325,20.863,9.072,7.171,,,2.975,2.975,2.975,2.975,4.35,17.888,6.097,4.196,22.238,10.293,0.462856372
E,DPE,2W,EDPE2W,12/4/20,3,16,81,ambient,R+,62,6.34,7.6,5480,5039.249,0.504,806,746,8.042895442,0.080428954,0.746,6,0.06,-1764.415648,8.248,28.316,7.996,6.974,,,2.975,2.975,2.975,2.975,5.273,25.341,5.021,3.999,30.614,9.02,0.294636441
E,DPE,3W,EDPE3W,12/4/20,3,16,81,ambient,R+,66,6.39,7.7,5580,5022.753,0.502,815,741,9.986504723,0.099865047,0.741,7.4,0.074,-880.3779261,7.551,22.958,9.367,6.501,,,2.975,2.975,2.975,2.975,4.576,19.983,6.392,3.526,24.559,9.918,0.403843805
E,DPE,4W,EDPE4W,12/4/20,3,16,81,ambient,R+,56,7.75,7.6,5480,4830.573,0.483,840,751,11.85086551,0.118508655,0.751,8.9,0.089,-477.4681686,13.158,39.066,13.688,8.18,,,2.975,2.975,2.975,2.975,10.183,36.091,10.713,5.205,46.274,15.918,0.343994468
E,DPE,5W,EDPE5W,12/4/20,3,16,81,ambient,R+,80,7.35,7.5,5380,4985.992,0.499,806,751,7.323568575,0.073235686,0.751,5.5,0.055,-2354.34433,10.58,48.54,13.557,7.827,,,2.975,2.975,2.975,2.975,7.605,45.565,10.582,4.852,53.17,15.434,0.290276472
F,ACY,1W,FACY1W,10/4/20,3,14,79,ambient,R+,72,11.14,7.6,5480,5091.348,0.509,906,846,7.092198582,0.070921986,0.846,6,0.06,-1764.415648,16.336,44.772,18.392,9.403,,,2.975,2.975,2.975,2.975,13.361,41.797,15.417,6.428,55.158,21.845,0.396044092
F,ACY,2W,FACY2W,10/4/20,3,14,79,ambient,R+,78,11.12,7.4,5280,4097.204,0.41,683,558,22.40143369,0.224014337,0.558,12.5,0.125,-154.8515663,15.456,57.83,14.108,7.045,,,2.975,2.975,2.975,2.975,12.481,54.855,11.133,4.07,67.336,15.203,0.225778187
F,ACY,3W,FACY3W,10/4/20,3,14,79,ambient,R+,83,4.95,7.9,5780,5426.816,0.543,903,851,6.110458284,0.061104583,0.851,5.2,0.052,-2835.444896,7.015,20.82,8.005,6.019,,,2.975,2.975,2.975,2.975,4.04,17.845,5.03,3.044,21.885,8.074,0.36892849
F,ACY,4W,FACY4W,10/4/20,3,14,79,ambient,R+,60,6.47,8.1,5980,5367.929,0.537,937,850,10.23529412,0.102352941,0.85,8.7,0.087,-514.8325218,10.019,23.027,10.039,5.993,,,2.975,2.975,2.975,2.975,7.044,20.052,7.064,3.018,27.096,10.082,0.372084441
F,ACY,2D,FACY2D,10/4/20,3,14,79,ambient,R+,54,7.06,7.5,5380,4797.406,0.48,829,748,10.82887701,0.10828877,0.748,8.1,0.081,-652.4458276,14.727,33.09,11.646,6.038,,,2.975,2.975,2.975,2.975,11.752,30.115,8.671,3.063,41.867,11.734,0.280268469
F,CAL,1W,FCAL1W,11/4/20,3,15,80,ambient,R-,70,10.54,7.6,5480,5068.29,0.507,830,772,7.512953368,0.075129534,0.772,5.8,0.058,-1974.278868,27.787,41.122,13.358,8.331,fine roots N,,2.975,2.975,2.975,7.051,24.812,38.147,10.383,1.28,62.959,11.663,0.185247542
F,CAL,2W,FCAL2W,11/4/20,3,15,80,ambient,R-,69,8.75,7.5,5380,4977.559,0.498,819,762,7.480314961,0.07480315,0.762,5.7,0.057,-2091.448376,23.532,28.662,10.475,9.643,fine roots N,,2.975,2.975,2.975,7.051,20.557,25.687,7.5,2.592,46.244,10.092,0.218233717
F,CAL,3W,FCAL3W,11/4/20,3,15,80,ambient,R-,60,7.08,7.5,5380,5017.226,0.502,839,786,6.743002545,0.067430025,0.786,5.3,0.053,-2661.937093,18.975,22.57,9.526,8.653,fine roots N,,2.975,2.975,2.975,7.051,16,19.595,6.551,1.602,35.595,8.153,0.229049024
F,CAL,4W,FCAL4W,11/4/20,3,15,80,ambient,R-,80,6.38,7.6,5480,5136.184,0.514,830,781,6.274007682,0.062740077,0.781,4.9,0.049,-3452.806897,12.424,16.815,8.152,7.99,fine roots N,,2.975,2.975,2.975,7.051,9.449,13.84,5.177,0.939,23.289,6.116,0.262613251
F,CAL,1D,FCAL1D,11/4/20,3,15,80,ambient,R-,80,8.22,7.8,5680,5038.192,0.504,985,885,11.29943503,0.11299435,0.885,10,0.1,-324.4683167,20.5,26.375,13.366,8.899,fine roots N,,2.975,2.975,2.975,7.051,17.525,23.4,10.391,1.848,40.925,12.239,0.299059255
F,ROF,1W,FROF1W,16/04/2020,3,20,85,ambient,R-,76,11.9,7.5,5380,4865.735,0.487,745,680,9.558823529,0.095588235,0.68,6.5,0.065,-1353.207881,41.19,38.922,12.525,7.63,main roots N,,2.975,2.975,7.051,2.975,38.215,35.947,5.474,4.655,74.162,10.129,0.13657938
F,ROF,2W,FROF2W,16/04/2020,3,20,85,ambient,R-,47,9.4,7.4,5280,4745.409,0.475,794,721,10.12482663,0.101248266,0.721,7.3,0.073,-920.9944529,29.205,30.348,10.508,9.133,"main roots N, fine roots N",,2.975,2.975,7.051,7.051,26.23,27.373,3.457,2.082,53.603,5.539,0.103333769
F,ROF,3W,FROF3W,16/04/2020,3,20,85,ambient,R-,70,13.51,7.2,5080,4462.371,0.446,738,658,12.15805471,0.121580547,0.658,8,0.08,-679.8748702,47.326,47.769,14.885,9.714,main roots N,,2.975,2.975,7.051,7.051,44.351,44.794,7.834,2.663,89.145,10.497,0.117751977
F,ROF,4W,FROF4W,16/04/2020,3,20,85,ambient,R-,80,9.06,7.5,5380,4952.652,0.495,761,705,7.943262411,0.079432624,0.705,5.6,0.056,-2217.833741,26.722,38.318,11.721,8.291,main roots N,,2.975,2.975,7.051,2.975,23.747,35.343,4.67,5.316,59.09,9.986,0.168996446
F,ROF,5W,FROF5W,16/04/2020,3,20,85,ambient,R-,75,11.61,7.6,5480,5037.416,0.504,736,681,8.076358297,0.080763583,0.681,5.5,0.055,-2354.34433,32.929,39.574,13.204,8.462,main roots N,,2.975,2.975,7.051,2.975,29.954,36.599,6.153,5.487,66.553,11.64,0.174898201
F,LST,1D,FLST1D,13/04/2020,3,17,82,ambient,R-,44,9.24,7.7,5580,5291.255,0.529,813,773,5.174644243,0.051746442,0.773,4,0.04,-6766.17809,18.941,28.084,9.525,9.045,fine roots N,,2.975,2.975,2.975,7.051,15.966,25.109,6.55,1.994,41.075,8.544,0.208009738
F,LST,2DG,FLST2DG,13/04/2020,3,17,82,ambient,R-,60,7.66,7.4,5280,4619.19,0.462,917,815,12.51533742,0.125153374,0.815,10.2,0.102,-303.8524387,23.553,23.631,8.651,8.02,,,2.975,2.975,2.975,2.975,20.578,20.656,5.676,5.045,41.234,10.721,0.26000388
F,LST,5D,FLST5D,13/04/2020,3,17,82,ambient,R-,40,9.03,7.5,5380,4904.883,0.49,838,770,8.831168831,0.088311688,0.77,6.8,0.068,-1165.212809,21.929,22.587,8.586,9.118,fine roots N,,2.975,2.975,2.975,7.051,18.954,19.612,5.611,2.067,38.566,7.678,0.199087279
F,LST,4D,FLST4D,13/04/2020,3,17,82,ambient,R-,32,9.53,7.7,5580,5245.911,0.525,832,785,5.987261146,0.059872611,0.785,4.7,0.047,-3964.312636,18.522,21.917,9.218,8.445,,,2.975,2.975,2.975,2.975,15.547,18.942,6.243,5.47,34.489,11.713,0.33961553
F,DPE,1W,FDPE1W,12/4/20,3,16,81,ambient,R+,67,2.98,7.7,5580,5262.034,0.526,946,895,5.698324022,0.05698324,0.895,5.1,0.051,-3023.967797,6.99,22.101,7.367,5.9,,,2.975,2.975,2.975,2.975,4.015,19.126,4.392,2.925,23.141,7.317,0.31619204
F,DPE,3W,FDPE3W,12/4/20,3,16,81,ambient,R+,56,3.45,7.7,5580,4856.108,0.486,836,740,12.97297297,0.12972973,0.74,9.6,0.096,-371.4866046,6.722,14.744,7.093,5.95,,,2.975,2.975,2.975,2.975,3.747,11.769,4.118,2.975,15.516,7.093,0.457141016
F,DPE,1D,FDPE1D,12/4/20,3,16,81,ambient,R+,63,5.29,7.6,5480,4820.301,0.482,819,731,12.03830369,0.120383037,0.731,8.8,0.088,-495.6923741,8.277,23.353,8.6,6.839,,,2.975,2.975,2.975,2.975,5.302,20.378,5.625,3.864,25.68,9.489,0.369509346
F,DPE,3D,FDPE3D,12/4/20,3,16,81,ambient,R+,70,4.95,8.2,6080,5656.621,0.566,937,876,6.96347032,0.069634703,0.876,6.1,0.061,-1670.336197,8.15,21.814,8.489,7.542,,,2.975,2.975,2.975,2.975,5.175,18.839,5.514,4.567,24.014,10.081,0.419796785